H,H_avg_TC,prod_inno,prod_imi,alive_firms_with_prod,TC_viewed,price_inno,price_imi
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
0.000000,0.000000,0,0,0,0,0.000000,0.000000
