Herfindahl in PC and mainframe markets
MF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.04500000000000003;0.2201567862421684;0.4394796360635806;0.5983352074892269;0.7049650760762054;0.7494317129287061;0.7619492093801438;0.7614557089807881;0.7491530043891143;0.7481266996480294;0.7382059805246428;0.7319724455567395;0.7281941129830957;0.721781214497722;0.716774922908749;0.7142011427098983;0.7112302339980306;0.7111926467849932;0.7128462578037956;0.7146735675973449;0.7153355553639705;0.7208150549368277;0.7241745218336857;0.7278873679452276;0.732171995218703;0.7391779395093625;0.7443030428158812;0.7495664696823763;0.756013817124141;0.7624998301664168;0.767284757927202;0.7739305933859287;0.7810432748264772;0.7870544980591969;0.7947466015051915;0.7997120040730911;0.8048048915233342;0.8011387870657971;0.7934397201884765;0.782315915368163;0.7698266628191924;0.7579439067874069;0.745867234045002;0.7350719635274067;0.7246101099651189;0.71515416344172;0.7097891180950755;0.7017550425391482;0.6958010816995072;0.6917541879221297;0.6895515593494564;0.6860574212048788;0.6827510635074889;0.6801331672218737;0.6808332697030878;0.6796768121150751;0.6805651835851192;0.6807587893695353;0.680937416512803;0.6818895275490061;0.6841055579795019;0.6844718471341741;0.687101853658412;0.6903332004088699;0.6923666137227047;0.6980392648567604;0.7066392893444196;0.715638918989712;0.723992641412792;0.7316753414805617;0.7369369966058931;0.7415528133743156;0.7469736421655804;0.7506012973623699;0.7549966323564224;0.7584645090108023;0.762650773377577;0.7670916486918775;0.7708719987515041;0.7737483604640052;0.7770846880512768;0.7819962197638569;0.784625624721287;0.787867950401929;0.7911160295097529;0.7954841578357585;0.7974639561523776;0.8001135208909654;0.8041850642138126;0.8077474535563655;0.8137631899088886;0.8161092518743209;0.8206518621478559;0.8237899292667423;0.8269145697622069;0.8312477734358032;0.8348332660153499;0.8394024674153922;0.8415432864249915;0.8467852191178098;0.8481839855471234;0.8521896617475102;0.8551862565107434;0.8591194737105208;0.8619299719652085;0.8644545573391109;0.8680296431689012;0.8699034232983716;0.8720757894246226;0.8751806843843283;0.8782508641724439;0.8797108279569021;0.8826606492118718;0.8852755274289991;0.8876738522194562;0.8894683801143415;0.8918089780856338;0.8941852725686629;0.8960017467739666;0.8975354717307767;0.8990716248569741;
PC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07055517171747963;0.5475933823268626;0.7415318157461401;0.6671100279863306;0.5562218726878457;0.4647564367587112;0.3947353886272305;0.34477010099339783;0.3064200833862439;0.2780721818616711;0.2560423580992267;0.2401833746036909;0.22574762773050455;0.21362305071582852;0.20289579196504995;0.19450438891223473;0.18785256386756213;0.18151336353673364;0.1773450195652659;0.17363299627291703;0.1704913163757483;0.16727460756616822;0.16543418222527018;0.16387270256567527;0.16186322102504108;0.16092830040395603;0.16081433895767377;0.16060327173511715;0.16000914298308824;0.16066907571883057;0.1619573805262219;0.1645989954447114;0.16623731668788225;0.1691956316461577;0.17225240894388502;0.1757573071524109;0.17972193255525037;0.18374728091590944;0.18770586344324514;0.19232856928829;0.19700019455574752;0.20295031037365804;0.20865719291642956;0.21478079787918652;0.2200094341711061;0.22513972100310264;0.22999997653336404;0.23328298191876792;0.23717855821660075;0.24077112941585146;0.2455092481373207;0.2494182725208418;0.25306349789459726;0.255697012934595;0.25764628708325865;0.2616845494474577;0.2646464537574601;0.2662710793742175;0.268082679988313;0.268618110883549;0.2705766289093025;0.27234286728625984;0.27278395824861873;0.2740170194695582;0.27492577261058104;0.27460886198595186;0.27608002185246755;0.2767501339997195;0.2772309880569402;0.27732342751201544;0.2772155541522408;0.27732748166847304;0.2776733884576344;0.2775746701894115;0.2787355632360046;0.27822794797265876;0.2782545282894069;0.27723644808895664;0.2766555785989422;0.2767000322895984;0.27681815706337887;0.276167016765993;0.27591258801714336;0.2758636967765862;0.2755736095966896;0.27469933633035737;0.27499562343842193;0.2739958592806663;0.2738149994692983;0.27462385373132076;0.27438589609172903;0.27429751492589005;0.2738740526427767;0.2730476100850974;0.273326087343578;0.2727751673664065;0.2729498864404897;

Number of firms in mainframe market
1st gen firms;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.04500000000000003;0.2480000000000002;0.5770000000000004;0.9260000000000007;1.2799999999999891;1.600999999999981;1.8579999999999781;2.0719999999999716;2.2469999999999692;2.421999999999965;2.5479999999999627;2.6649999999999636;2.773999999999964;2.873999999999965;2.9479999999999658;3.021999999999967;3.0959999999999677;3.159999999999967;3.2119999999999673;3.2629999999999697;3.306999999999971;3.3429999999999733;3.3679999999999732;3.3929999999999736;3.4179999999999744;3.430999999999974;3.4429999999999734;3.4429999999999734;3.4469999999999734;3.4469999999999734;3.4479999999999738;3.4479999999999738;3.446999999999974;3.4439999999999737;3.4289999999999727;3.3669999999999733;3.2339999999999707;3.0529999999999697;2.810999999999969;2.570999999999968;2.422999999999964;2.290999999999963;2.239999999999963;2.207999999999965;2.183999999999964;2.1709999999999643;2.163999999999964;2.1559999999999646;2.1499999999999644;2.1449999999999645;2.141999999999965;2.137999999999965;2.1309999999999647;2.118999999999965;2.1149999999999647;2.1079999999999655;2.1079999999999655;2.1059999999999657;2.103999999999966;2.098999999999966;2.0929999999999658;2.0859999999999657;2.082999999999966;2.0759999999999663;2.062999999999967;2.0559999999999663;2.0429999999999664;2.034999999999967;2.024999999999967;2.0209999999999675;2.0099999999999674;1.9999999999999678;1.993999999999968;1.9729999999999683;1.9629999999999685;1.9489999999999683;1.9399999999999684;1.9259999999999682;1.9159999999999682;1.9089999999999685;1.9019999999999684;1.8909999999999685;1.878999999999968;1.872999999999968;1.8639999999999686;1.8549999999999685;1.8429999999999687;1.826999999999969;1.8149999999999693;1.80499999999997;1.7969999999999704;1.7869999999999713;1.7749999999999715;1.759999999999972;1.7519999999999722;1.7439999999999725;1.7309999999999728;1.7209999999999719;1.7069999999999719;1.6989999999999716;1.6829999999999716;1.6729999999999718;1.6599999999999724;1.6529999999999727;1.642999999999973;1.6289999999999727;1.6169999999999727;1.606999999999973;1.5929999999999738;1.5889999999999735;1.5729999999999746;1.5609999999999749;1.5489999999999753;1.5439999999999754;1.5319999999999763;1.5289999999999762;1.5209999999999764;1.5159999999999763;1.5079999999999765;1.498999999999977;1.4919999999999771;
2nd gen firms;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08100000000000006;0.6460000000000005;1.6809999999999794;2.9229999999999627;3.9579999999999638;4.4899999999999665;4.76099999999996;4.773999999999962;4.829999999999961;4.909999999999958;4.923999999999958;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.9259999999999575;4.924999999999958;4.918999999999959;4.88399999999996;4.778999999999962;4.623999999999963;4.427999999999962;4.275999999999961;4.172999999999962;4.094999999999963;4.0359999999999605;3.9899999999999616;3.9559999999999613;3.9189999999999605;3.8779999999999615;3.838999999999963;3.7929999999999637;3.7559999999999643;3.7179999999999653;3.6789999999999634;3.6349999999999634;3.606999999999964;3.5709999999999624;3.533999999999961;3.489999999999961;3.4409999999999608;3.412999999999961;3.376999999999961;3.3219999999999628;3.2659999999999614;3.2239999999999625;3.1799999999999646;3.1309999999999656;3.083999999999966;3.0409999999999657;2.982999999999966;2.925999999999966;2.868999999999964;2.8179999999999645;2.773999999999965;2.736999999999964;2.6759999999999637;2.6379999999999644;2.5939999999999643;2.561999999999964;2.5269999999999646;2.4919999999999645;2.445999999999965;2.4119999999999657;2.3639999999999666;2.337999999999967;2.3149999999999684;2.289999999999969;2.2549999999999693;2.225999999999969;2.1989999999999683;2.16999999999997;2.1319999999999704;2.102999999999971;2.071999999999972;
Total number;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.04500000000000003;0.2480000000000002;0.5770000000000004;0.9260000000000007;1.2799999999999891;1.600999999999981;1.8579999999999781;2.0719999999999716;2.2469999999999692;2.421999999999965;2.5479999999999627;2.6649999999999636;2.773999999999964;2.873999999999965;2.9479999999999658;3.021999999999967;3.0959999999999677;3.159999999999967;3.2119999999999673;3.2629999999999697;3.306999999999971;3.3429999999999733;3.3679999999999732;3.3929999999999736;3.4179999999999744;3.430999999999974;3.4429999999999734;3.4429999999999734;3.4469999999999734;3.4469999999999734;3.4479999999999738;3.4479999999999738;3.446999999999974;3.5249999999999737;4.0749999999999735;5.047999999999953;6.156999999999933;7.0109999999999335;7.300999999999935;7.331999999999928;7.196999999999926;7.120999999999924;7.149999999999921;7.131999999999923;7.109999999999921;7.096999999999921;7.089999999999922;7.081999999999923;7.075999999999922;7.070999999999922;7.067999999999922;7.063999999999922;7.056999999999922;7.044999999999923;7.040999999999922;7.0339999999999225;7.0339999999999225;7.031999999999924;7.029999999999923;7.024999999999924;7.018999999999924;7.011999999999923;7.0079999999999245;6.994999999999925;6.946999999999927;6.834999999999928;6.66699999999993;6.462999999999928;6.300999999999927;6.19399999999993;6.104999999999931;6.0359999999999285;5.98399999999993;5.928999999999929;5.881999999999929;5.82699999999993;5.7789999999999315;5.718999999999932;5.671999999999932;5.626999999999934;5.580999999999932;5.525999999999932;5.485999999999931;5.443999999999931;5.3979999999999295;5.34499999999993;5.28399999999993;5.23999999999993;5.191999999999931;5.126999999999933;5.062999999999931;5.0109999999999335;4.954999999999936;4.890999999999938;4.835999999999938;4.784999999999938;4.713999999999938;4.646999999999938;4.575999999999936;4.516999999999936;4.456999999999937;4.409999999999936;4.335999999999936;4.290999999999937;4.236999999999937;4.190999999999937;4.143999999999937;4.098999999999937;4.038999999999939;4.000999999999939;3.936999999999941;3.8989999999999423;3.863999999999944;3.8339999999999446;3.7869999999999457;3.754999999999945;3.7199999999999447;3.6859999999999467;3.639999999999947;3.601999999999948;3.5639999999999494;

Number of firms in PC market
MP start-ups;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07300000000000005;0.9630000000000007;2.7059999999999618;4.507999999999957;5.964999999999954;7.218999999999967;8.328999999999969;9.356999999999957;10.14399999999994;10.871999999999916;11.573999999999923;12.142999999999914;12.764999999999928;13.22799999999993;13.541999999999941;13.684999999999944;13.755999999999952;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.818999999999953;13.817999999999953;13.816999999999952;13.797999999999949;13.728999999999944;13.518999999999934;13.136999999999942;12.617999999999924;11.955999999999927;11.446999999999914;11.023999999999917;10.747999999999928;10.52599999999993;10.341999999999928;10.184999999999931;10.041999999999934;9.917999999999937;9.794999999999943;9.66199999999995;9.575999999999949;9.491999999999953;9.436999999999951;9.365999999999945;9.319999999999949;9.275999999999952;9.242999999999958;9.197999999999958;9.171999999999958;9.144999999999955;9.116999999999955;9.092999999999952;9.071999999999948;9.032999999999948;8.998999999999947;8.962999999999946;8.929999999999946;8.892999999999947;8.85799999999995;8.826999999999954;8.777999999999956;8.724999999999957;8.669999999999963;8.631999999999962;8.577999999999964;8.536999999999964;8.494999999999964;8.440999999999967;8.386999999999968;8.324999999999973;8.286999999999969;8.220999999999975;8.174999999999974;8.116999999999978;8.06699999999998;8.011999999999977;7.967999999999979;7.923999999999977;7.873999999999981;7.82799999999998;7.7949999999999795;7.75499999999998;7.7179999999999795;7.68299999999998;
